id;name;transit;host_id;host_since;host_response_time;host_response_rate;host_is_superhost;host_listings_count;host_identity_verified;street;neighbourhood;latitude;longitude;property_type;room_type;accommodates;bathrooms;bedrooms;beds;bed_type;amenities;price;guests_included;extra_people;minimum_nights;calendar_updated;has_availability;availability_30;availability_60;availability_90;availability_365;number_of_reviews;number_of_reviews_ltm;review_scores_rating;review_scores_accuracy;review_scores_cleanliness;review_scores_checkin;review_scores_communication;review_scores_location;review_scores_value;instant_bookable;cancellation_policy;calculated_host_listings_count;calculated_host_listings_count_entire_homes;calculated_host_listings_count_private_rooms;calculated_host_listings_count_shared_rooms;reviews_per_month;check_in_24h;air_conditioning;high_end_electronics;bbq;balcony;nature_and_views;bed_linen;breakfast;tv;coffee_machine;cooking_basics;white_goods;elevator;gym;child_friendly;parking;outdoor_space;host_greeting;hot_tub_sauna_or_pool;internet;long_term_stays;pets_allowed;private_entrance;secure;self_check_in;smoking_allowed;accessible;event_suitable
1620248;Large furnished 2 bedrooms- - 30 days Minimum;The nearest subway station serves the L train and is located one block away from the apartment. You can also catch the N/Q/R and 4/5/6 trains in Union Square subway station (4 blocks west)..;2196224;410210;a few days or more;44;0;40;10;New York, NY, United States;Manhattan;4,07305E+14;-739814;Apartment;Entire home/apt;3;10;2;2;Real Bed;"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Free street parking"",""Buzzer/wireless intercom"",Heating,""Smoke detector"",""Carbon monoxide detector"",Essentials,Hangers,""Hair dryer"",""Laptop friendly workspace"",""Hot water"",""Long term stays allowed"",""Host greets you""}";10;1;0;30;today;1;0;20;50;137;0;0;;;;;;;;1;strict_14_with_grace_period;4;4;0;0;;-1;1;-1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;-1;-1;1;-1;1;-1;1;1;-1;-1;-1;-1;-1;-1;-1
17437106;Couch in Harlem Harvey Refugees only;;33511962;421400;;;0;10;0;New York, NY, United States;Manhattan;4081302;-7395349;Apartment;Shared room;1;10;1;1;Real Bed;"{Internet,Wifi,""Air conditioning"",Kitchen,""Buzzer/wireless intercom"",Heating,""Smoke detector"",""Carbon monoxide detector"",Essentials,""translation missing: en.hosting_amenity_49""}";10;1;0;1;22 months ago;1;0;0;0;0;0;0;;;;;;;;0;flexible;1;0;0;1;;-1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;-1;-1;-1;-1
17952277;Newly renovated, fully furnished room in Brooklyn;;62685070;424410;;;0;20;10;Brooklyn, NY, United States;Bushwick;4069974;-7391935;Apartment;Private room;2;10;1;1;Real Bed;"{Wifi,""Air conditioning"",Heating,Essentials,Shampoo,""Laptop friendly workspace""}";10;1;0;5;26 months ago;1;0;0;0;0;0;0;;;;;;;;0;flexible;1;0;1;0;;-1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;-1;-1;-1;-1
17979764;Jen Apt;;84497333;425690;;;0;10;0;New York, NY, United States;Manhattan;4072237;-7399817;Apartment;Private room;1;10;1;1;Real Bed;"{Wifi,""Air conditioning"",Kitchen,Elevator,Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,""Lock on bedroom door"",Hangers,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}";10;1;0;5;28 months ago;1;0;0;0;0;2;0;1000;100;100;100;100;100;100;0;flexible;1;0;1;0;7;-1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;-1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;-1;-1;-1;-1
18750597;Huge Brooklyn Brownstone Living, Close to it all.;This is a great location for every type of public transportation. Steps outside my building is the bus heading to Williamsburg, only a 3 min walk of 2 blocks is the train which runs 24 hours a day each day and connects you to Manhattan within 25 mins. We are also a great destination for cabs both private and public car services. This location is also a fun area to walk around and check out the bars, cafes and restaurants tucked in every little nook.;8993084;415390;within an hour;10;0;60;10;Brooklyn, NY, United States;Brooklyn;4069023;-7395428;Apartment;Private room;5;15;2;4;Real Bed;"{TV,Wifi,""Air conditioning"",Pool,Kitchen,""Paid parking off premises"",""Free street parking"",""Indoor fireplace"",Heating,""Family/kid friendly"",""Suitable for events"",Washer,Dryer,""Smoke detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Private entrance"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed"",""Long term stays allowed""}";0;1;0;4;4 weeks ago;1;1;8;8;28;1;0;800;100;100;100;100;100;100;0;strict_14_with_grace_period;4;0;4;0;5;-1;1;-1;-1;-1;-1;1;-1;1;1;1;1;-1;-1;1;1;-1;-1;1;1;1;-1;1;-1;1;-1;-1;1
19415314;Girls only, cozy room one block from Times Square;;47336995;423010;;;0;10;10;New York, NY, United States;Midtown;4075812;-7398935;Apartment;Shared room;1;10;1;1;Real Bed;"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",Breakfast,""Hot tub"",""Buzzer/wireless intercom"",Heating,""Suitable for events"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Host greets you""}";10;1;0;1;11 months ago;1;0;0;0;0;2;0;1000;100;100;100;100;100;100;0;flexible;1;0;0;1;8;-1;1;-1;-1;-1;-1;-1;1;1;-1;-1;1;-1;-1;-1;-1;-1;1;1;1;-1;-1;-1;-1;-1;1;-1;1
20523843;MARTIAL LOFT 3: REDEMPTION (upstairs, 2nd room);We are conveniently located near the J, M, and L subway lines. It takes about 25 minutes to get to downtown Manhattan from our place.;15787004;417790;within an hour;10;10;50;0;Brooklyn, NY, United States;Bushwick;4069467;-7392433;Townhouse;Private room;2;25;1;1;Real Bed;{};0;1;10;2;2 weeks ago;1;0;0;0;0;16;10;940;100;80;100;100;100;90;0;flexible;5;0;5;0;71;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
20608117;Sunny, Quiet Room in Greenpoint;I am 15 minute walk from the L train Graham stop and 10 minute walk from the Nassau G train. It's a pleasant stroll. There are also Citi bike stands two blocks away.;1641537;409310;;;0;20;10;Brooklyn, NY, United States;Brooklyn;4072462;-7394072;Apartment;Private room;2;10;1;1;Real Bed;"{TV,Wifi,""Air conditioning"",Kitchen,""Free street parking"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",""Laptop friendly workspace"",""Private entrance"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Coffee maker"",Refrigerator,""Dishes and silverware"",Oven,Stove,""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed"",""Wide hallways"",""Wide entrance for guests"",""Well-lit path to entrance"",""Wide entrance"",""Extra space around bed"",""Accessible-height bed"",""No stairs or steps to enter"",""Wide doorway to guest bathroom"",""Accessible-height toilet"",""Wide clearance to shower, toilet"",""No stairs or steps to enter"",""Wide entryway"",""Host greets you""}";0;1;20;2;9 months ago;1;0;0;0;0;12;0;980;100;100;100;100;100;100;0;moderate;2;0;2;0;53;-1;1;-1;-1;-1;-1;1;-1;1;1;-1;1;-1;-1;-1;1;1;1;-1;1;1;-1;1;-1;-1;-1;1;-1
20624541;Modern apartment in the heart of Williamsburg;Metro is best, taxi/uber/ lyft are at your doorstep in minutes.;10132166;415970;within an hour;10;0;10;10;Brooklyn, NY, United States;Williamsburg;4070838;-7394645;Apartment;Entire home/apt;4;10;1;2;Real Bed;"{TV,Wifi,""Air conditioning"",Kitchen,Heating,Washer,Dryer,""Smoke detector"",Essentials,Shampoo,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private living room"",""Private entrance"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony""}";0;2;15;5;5 weeks ago;1;0;9;11;73;3;0;870;90;100;90;100;90;90;0;moderate;1;1;0;0;15;-1;1;-1;-1;1;-1;1;-1;1;1;1;1;-1;-1;-1;-1;-1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;-1
21291569;Coliving in Brooklyn! Modern design / Shared room;Halsey Street Station for J and Z train, Knickerbocker Ave for M train, Wilson Ave for L train;101970559;426740;within a few hours;10;0;200;0;Brooklyn, NY, United States;Brooklyn;4069211;-739067;Apartment;Shared room;3;60;1;3;Real Bed;"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Free street parking"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""BBQ grill"",""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed"",""Wide hallways""}";0;1;34;30;3 weeks ago;1;0;28;58;333;2;1;700;60;60;100;70;80;80;0;strict_14_with_grace_period;6;0;2;4;11;-1;1;-1;1;-1;-1;1;-1;1;1;1;1;-1;-1;-1;1;1;-1;-1;1;1;-1;-1;-1;1;-1;-1;-1
21304320;Best Coliving space ever! Shared room.;The Co-living is literally few blocks from the Wilson Av Metro station (L train) or 7/10 min walk to the station for M, J, Z trains, which brings you in 20 min subway ride to Lower Manhattan.;101970559;426740;within a few hours;10;0;200;0;Brooklyn, NY, United States;Bushwick;4069166;-7390928;Townhouse;Shared room;3;65;1;3;Real Bed;"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Free street parking"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""BBQ grill"",""Patio or balcony"",""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed""}";0;1;28;30;7 weeks ago;1;0;0;0;139;5;4;960;100;90;100;100;100;100;0;strict_14_with_grace_period;6;0;2;4;26;-1;1;-1;1;1;-1;1;-1;1;1;1;1;-1;-1;-1;1;1;-1;-1;1;1;-1;-1;-1;1;-1;-1;-1
24114389;Very Spacious bedroom, steps from CENTRAL PARK.;;180661875;431850;;;0;10;0;New York, NY, United States;Manhattan;4076844;-7398333;Apartment;Private room;1;10;1;1;Real Bed;"{TV,Wifi,""Air conditioning"",Kitchen,Elevator,Heating,""Smoke detector"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Laptop friendly workspace"",""Private living room""}";10;1;0;1;15 months ago;1;0;0;0;0;2;0;900;90;90;100;100;100;90;0;flexible;1;0;1;0;13;-1;1;-1;-1;-1;-1;-1;-1;1;-1;-1;-1;1;-1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;-1;-1;-1;-1
25839759;Gigantic Sunny Room in Park Slope-Private Backyard;Travel by foot for almost anything or ride the train to get into the city;167570251;431130;a few days or more;0;0;10;0;Brooklyn, NY, United States;Greenwood Heights;4066242;-7399464;Apartment;Entire home/apt;2;10;1;1;Real Bed;"{TV,Wifi,""Air conditioning"",Kitchen,Heating,""Smoke detector"",Essentials,""Lock on bedroom door"",""Laptop friendly workspace""}";10;1;10;1;2 days ago;1;4;4;4;4;14;12;1000;100;90;100;100;100;100;0;strict_14_with_grace_period;1;1;0;0;106;-1;1;-1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;-1;-1;-1;-1
27316669;Bronx Apart;;205820814;433100;within a day;5;0;10;0;Bronx, NY, United States;Highbridge;4083454;-7392751;Apartment;Private room;1;10;1;1;Real Bed;"{TV,Wifi,""Air conditioning"",Heating,Washer,""Smoke detector"",""Carbon monoxide detector"",""Lock on bedroom door"",Hangers,Iron}";10;1;0;1;11 months ago;1;30;60;90;180;0;0;;;;;;;;1;flexible;1;0;1;0;;-1;1;-1;-1;-1;-1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;-1;-1;-1;-1
28270998;Charming, bright and brand new Bed-Stuy home;The G subway is only a block away and connects the apartment to all the best neighborhoods in Brooklyn (from Greenpoint to Red Hook!) and Queens. Just 5 stops south on the G you can transfer to the express A to Manhattan, while 3 stops north on the G you can change to the L.;647528;406940;within a day;10;0;10;0;Brooklyn, NY, United States;Bedford-Stuyvesant;4069508;-7395164;Apartment;Entire home/apt;4;10;2;2;Real Bed;"{TV,Wifi,""Air conditioning"",Kitchen,Breakfast,""Free street parking"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,Hangers,""Hair dryer"",""Laptop friendly workspace"",""Private entrance"",""Hot water"",""Luggage dropoff allowed"",""Long term stays allowed"",Other}";10;2;25;3;5 weeks ago;1;0;0;0;0;5;5;1000;100;100;100;100;100;100;0;flexible;1;1;0;0;51;-1;1;-1;-1;-1;-1;-1;1;1;-1;-1;1;-1;-1;-1;1;-1;-1;-1;1;1;-1;1;-1;-1;-1;-1;-1
35642891;Beautiful room in Bushwick;A block away from M train and a short walk away from L train!;268138154;436280;within an hour;10;0;10;0;Brooklyn, NY, United States;Brooklyn;406964;-7391898;Apartment;Private room;2;10;1;1;Real Bed;"{Wifi,""Air conditioning"",Heating,Washer,Dryer,Essentials,Hangers}";10;1;0;1;2 weeks ago;1;0;0;0;0;2;2;1000;100;100;100;100;100;100;0;flexible;1;0;1;0;20;-1;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;-1;-1;-1;-1
